https://www.healthline.com/nutrition/top-13-evidence-based-health-benefits-of-coffee,,,,
,,,,
Coffee drinking,Benefit / Side Effect,Effect,More details supported by different studies,value
Coffee drinking,Side Effects of Too Much Caffeine,Anxiety,"Extremely high daily intakes of 1,000 mg or more per day causes nervousness, jitteriness in most people, whereas even a moderate intake may lead to similar effects in caffeine-sensitive individuals",1
Coffee drinking,Side Effects of Too Much Caffeine,Anxiety,Modest doses may to cause rapid breathing and increase stress levels when consumed in one sitting,1
Coffee drinking,Side Effects of Too Much Caffeine,Insomnia,Higher caffeine intake may increase the amount of time it takes to fall asleep. ,1
Coffee drinking,Side Effects of Too Much Caffeine,Insomnia,Caffeine consumed later in the day may interfere with sleep.,1
Coffee drinking,Side Effects of Too Much Caffeine,Digestive Issues,Caffeine may stimulate bowel movements by increasing peristalsis,1
Coffee drinking,Side Effects of Too Much Caffeine,Digestive Issues,Caffeine may worsen gastroesophageal reflux disease in some people. ,1
Coffee drinking,Side Effects of Too Much Caffeine,Skeletal and muscular systems,"In rare case, excessive caffeine intake may cause the rhabdomyolysis (mussle breakdown)",1
Coffee drinking,Side Effects of Too Much Caffeine,Skeletal and muscular systems,Caffeine in large amounts may change with absorption and metabolism of calcium.,1
Coffee drinking,Side Effects of Too Much Caffeine,Addiction, Hight dosages coffee drinkers may develop psychological or physical dependency,1
Coffee drinking,Side Effects of Too Much Caffeine,Addiction,"Daily coffee drinkers may experience the simptoms of withdrowal (increases in headaches, fatigue and other)",1
Coffee drinking,Side Effects of Too Much Caffeine,High Blood Pressure,Some people can experience high blood pressure because of stimulatory effect on the nervous system,1
Coffee drinking,Side Effects of Too Much Caffeine,High Blood Pressure,High caffeine intake may elevate blood pressure during exercise in healthy people,1
Coffee drinking,Side Effects of Too Much Caffeine,Rapid Heart Rate,"High caffeine intake may cause 
Tachycardia",1
Coffee drinking,Side Effects of Too Much Caffeine,Rapid Heart Rate,High caffeine intake may cause altered heartbeat rhythm,1
Coffee drinking,Side Effects of Too Much Caffeine,Fatigue,High dose of coffeine indirectly lead to fatigue when its effects wear off. .,1
Coffee drinking,Side Effects of Too Much Caffeine,Frequent Urination and Urgency,People who consumed more than 450 mg daily had a significantly increased risk of incontinenc,1
